         NAME (hkl)     2*dspacing   emin  DarwinWidth
         SiC-4H (010)         6.16   2012.73  107.725
         SiC-6H (011)        6.036   2054.07  111.72
 SiFe-primitive (001)        5.392   2299.41  310.274
        Silicon (111)        6.271   1977.1  259.248
         Silver (111)       4.7173   2628.29  748.957
         SmNiO3 (101)       8.7134   1422.91  57.7363
       Sn2P2Se6 (011)        11.99   1034.11  144.401
SnO2_Cassiterite (011)       5.2859   2345.56  479.117
        Sr2TiO4 (011)       7.4233   1670.2  65.082
       Sr3Ti2O7 (011)       7.6666   1617.21  22.1166
      Sr4Ti3O10 (011)       7.7259   1604.78  41.2634
         SrRuO3 (101)       9.0756   1366.13  12.6223
         SrTiO3 (001)         7.81   1587.51  62.8837
SrTiO3_tetragonal (110)       7.8142   1586.64  62.6129
          SrVO3 (001)       7.6818   1614  96.4434
       Tantalum (011)       4.6687   2655.62  1235.07
    Tellurium-I (010)        8.912   1391.21  453.685
       Tungsten (011)       4.4689   2774.37  1302.69
            UO2 (111)       6.3162   1962.95  1136.25
     VO2_Rutile (011)       4.8387   2562.32  207.203
       Y3Al5O12 (211)        9.803   1264.75  147.857
          YAlO3 (011)       8.4778   1462.46  48.8246
        Zincite (010)       6.5002   1907.39  488.374
          Zn3P2 (011)       13.228   937.321  21.1208
            ZnS (111)       6.2521   1983.07  529.858
           ZnSe (111)       6.5457   1894.15  679.996
           ZnTe (111)       7.0479   1759.15  820.77
           ZrO2 (111)       5.9409   2086.95  318.783
