#F f1f2_EPDL97.dat
#C  This file has been created using f1f2_EPDL97.pro 
#D  Fri Sep 11 10:19:50 1998
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UIDL xf1f2
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD 
#UD The anomalous scattering factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://epicws.cped.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD The data in this file are valid in the energy range 1.0 eV to 1.0 MeV 
#UD for the elements Z = 1 - 100.
#UD Column description: 1:PhotonEnergy[eV]  2:f1  3:f2
#UD 
#S  1 H 
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     21.25016    -0.3168039      0.000000 
     21.34445    -0.9512031      0.000000 
     21.37481     -1.229689      0.000000 
     21.37811     -1.200004      0.000000 
     21.42406    -0.7866149     0.2087793 
     21.48499    -0.2858689     0.4856091 
     21.53596     0.1723762     0.8647212 
     21.55621     0.3544410      1.093061 
     21.58858     0.6069779      1.458039 
     21.60477     0.7332960      1.715493 
     21.64923     0.9302880      2.422459 
     21.65561     0.9585609      2.544365 
     21.67279     0.9715641      2.872553 
     21.69867     0.9185580      3.366989 
     21.72535     0.7829421      3.876681 
     21.74636     0.6125050      4.278089 
     21.78163     0.1973630      4.951909 
     21.78719     0.1085368      5.058108 
     21.80228    -0.1325960      5.277878 
     21.82958    -0.6656234      5.675482 
     21.85009     -1.066042      5.890210 
     21.86448     -1.434316      6.040871 
     21.90763    -0.4851961      6.172820 
     21.91468    -0.2873111      6.194379 
     21.96656     0.8322886      5.889074 
     21.97254     0.9613600      5.805305 
     21.98691      1.213398      5.604038 
     22.01812      1.700927      5.166930 
     22.02541      1.797971      5.064819 
     22.03224      1.877041      4.944304 
     22.04504      2.003087      4.718454 
     22.05625      2.093608      4.520655 
     22.06605      2.159352      4.347761 
     22.07463      2.207171      4.196371 
     22.08964      2.269782      3.931526 
     22.10090      2.299205      3.732861 
     22.10935      2.311103      3.583749 
     22.12201      2.310945      3.360371 
     22.12835      2.301290      3.248521 
     22.13468      2.281337      3.136832 
     22.15347      2.206782      2.842374 
     22.16286      2.157467      2.695231 
     22.16756      2.126562      2.621574 
     22.17226      2.085857      2.547917 
     22.19614      1.897078      2.266460 
     22.20808      1.795684      2.125732 
     22.21703      1.703639      2.020250 
     22.22002      1.665117      1.985004 
     22.22579      1.590792      1.947358 
     22.25171      1.304465      1.778238 
     22.27429      1.055050      1.675867 
     22.28055     0.9691890      1.647481 
     22.32939     0.4479891      1.624688 
     22.34223     0.3109630      1.678122 
     22.38859  -0.009723902      1.871050 
     22.43982    -0.3011510      2.084242 
     22.45430    -0.3835170      2.192953 
     22.50990    -0.4153121      2.610399 
     22.51419    -0.4033978      2.642616 
     22.57179    -0.2434659      2.917234 
     22.63356   -0.01332545      3.033157 
     22.65479    0.06577802      3.017153 
     22.73629     0.2537740      2.955719 
     22.77059     0.2845954      2.929865 
     22.84777     0.3539500      2.861085 
     22.95831     0.3531386      2.762575 
     23.06736     0.3523380      2.748523 
     23.19294     0.3448807      2.732342 
     23.20836     0.3439651      2.731262 
     23.86988     0.4725970      2.684936 
     25.64773     0.7836120      2.560432 
     27.59062      1.045945      2.424371 
     29.86276      1.281004      2.265253 
     31.44595      1.412497      2.154382 
     33.71345      1.564128      1.995588 
     34.31379      1.595007      1.953546 
     36.19694      1.691867      1.857759 
     38.21092      1.775455      1.755318 
     40.54793      1.853573      1.636446 
     41.86730      1.891566      1.569336 
     43.04337      1.921215      1.525464 
     44.34012      1.950083      1.477089 
     45.54056      1.974097      1.432307 
     46.73491      1.995889      1.387753 
     47.17913      2.004558      1.371181 
     48.31283      2.022505      1.328889 
     49.60744      2.040688      1.280595 
     51.40841      2.062660      1.232571 
     54.16890      2.092603      1.158962 
     56.95697      2.115589      1.084617 
     59.37671      2.131143      1.020094 
     60.10710      2.135838      1.006272 
     63.86080      2.155575     0.9352385 
     69.90409      2.173926     0.8208772 
     72.28738      2.181163     0.7884027 
     81.19001      2.191258     0.6670963 
     83.95808      2.194396     0.6387450 
     91.30740      2.193835     0.5634712 
     101.3036      2.193072     0.4881392 
     106.7551      2.189257     0.4470564 
     121.7924      2.178734     0.3651433 
     138.8002      2.166832     0.2967969 
     155.0768      2.155236     0.2475646 
     175.3502      2.140793     0.2013534 
     195.2233      2.126635     0.1678913 
     198.6801      2.124813     0.1620708 
     225.5041      2.110675     0.1291928 
     247.4984      2.099083     0.1094815 
     253.1608      2.096897     0.1044068 
     277.0400      2.087677    0.08811064 
     296.3807      2.080209    0.07775514 
     304.2964      2.077985    0.07351686 
     340.7541      2.067743    0.05885722 
     355.7475      2.063531    0.05444903 
     380.9581      2.058457    0.04703688 
     418.4786      2.050906    0.03906472 
     427.5315      2.049580    0.03714121 
     474.5412      2.042695    0.02985160 
     484.1724      2.041284    0.02876416 
     531.1490      2.036238    0.02346011 
     556.9950      2.033462    0.02132207 
     583.6695      2.031345    0.01911550 
     636.4602      2.027157    0.01590360 
     648.4636      2.026455    0.01517329 
     721.8790      2.022160    0.01194999 
     783.0661      2.019498   0.009966279 
     816.2756      2.018053   0.009165787 
     868.4603      2.016382   0.007907910 
     922.5714      2.014648   0.006948295 
     944.0608      2.014150   0.006567198 
     1046.562      2.011771   0.005232993 
     1160.831      2.009815   0.004164407 
     1285.618      2.008239   0.003324858 
     1313.365      2.007889   0.003189608 
     1425.474      2.006871   0.002643139 
     1485.188      2.006330   0.002425430 
     1543.114      2.005952   0.002214240 
     1681.173      2.005053   0.001828843 
     1859.755      2.004197   0.001455036 
     2066.990      2.003445   0.001141181 
     2286.906      2.002857  0.0009029569 
     2334.459      2.002730  0.0008649683 
     2483.133      2.002444  0.0007461976 
     2619.190      2.002181  0.0006623438 
     2684.856      2.002090  0.0006218728 
     2932.693      2.001747  0.0005058058 
     2990.797      2.001666  0.0004859540 
     3241.857      2.001403  0.0004001770 
     3307.457      2.001334  0.0003836220 
     3514.204      2.001175  0.0003314467 
     3665.760      2.001058  0.0003023030 
     3818.204      2.000972  0.0002729886 
     4074.338      2.000827  0.0002359876 
     4169.105      2.000787  0.0002222976 
     4512.061      2.000646  0.0001858616 
     4600.993      2.000619  0.0001764134 
     4987.921      2.000500  0.0001468209 
     5086.971      2.000478  0.0001392455 
     5417.319      2.000401  0.0001211768 
     5621.203      2.000364  0.0001100252 
     5891.535      2.000315  9.915545E-05 
     6106.091      2.000285  9.052837E-05 
     6371.307      2.000247  8.258517E-05 
     6745.403      2.000205  7.138103E-05 
     6858.946      2.000192  6.887272E-05 
     7306.487      2.000151  5.898597E-05 
     7767.800      2.000116  5.142230E-05 
     8052.132      2.000098  4.676040E-05 
     8235.371      2.000086  4.454079E-05 
     8727.248      2.000060  3.858257E-05 
     9141.118      2.000041  3.477906E-05 
     9519.726      2.000026  3.129961E-05 
     9877.529      2.000013  2.889286E-05 
     10049.05      2.000007  2.773914E-05 
     10272.58      2.000000  2.6
